sampleName,FastqFileName,CountFileName,surface,replicate,group
H1_1R_10,H1_1R_10__S3_R1_001.fastq,H1_1R_10_count.txt,stiff,1,H1_10
H1_1R_100,H1_1R_100_S4_R1_001.fastq,H1_1R_100_count.txt,soft,1,H1_100
H1_2R_10,H1_2R_10__S9_R1_001.fastq,H1_2R_10_count.txt,stiff,2,H1_10
H1_2R_100,H1_2R_100_S10_R1_001.fastq,H1_2R_100_count.txt,soft,2,H1_100
H1_3R_10,H1_3R_10__S15_R1_001.fastq,H1_3R_10_count.txt,stiff,3,H1_10
H1_3R_100,H1_3R_100_S16_R1_001.fastq,H1_3R_100_count.txt,soft,3,H1_100
H1_4R_10,H1_4R_10__S21_R1_001.fastq,H1_4R_10_count.txt,stiff,4,H1_10
H1_4R_100,H1_4R_100_S22_R1_001.fastq,H1_4R_100_count.txt,soft,4,H1_100
H2_1R_10,H2_1R_10__S5_R1_001.fastq,H2_1R_10_count.txt,stiff,1,H2_10
H2_1R_100,H2_1R_100_S6_R1_001.fastq,H2_1R_100_count.txt,soft,1,H2_100
H2_2R_10,H2_2R_10__S11_R1_001.fastq,H2_2R_10_count.txt,stiff,2,H2_10
H2_2R_100,H2_2R_100_S12_R1_001.fastq,H2_2R_100_count.txt,soft,2,H2_100
H2_3R_10,H2_3R_10__S17_R1_001.fastq,H2_3R_10_count.txt,stiff,3,H2_10
H2_3R_100,H2_3R_100_S18_R1_001.fastq,H2_3R_100_count.txt,soft,3,H2_100
H2_4R_10,H2_4R_10__S23_R1_001.fastq,H2_4R_10_count.txt,stiff,4,H2_10
H2_4R_100,H2_4R_100_S24_R1_001.fastq,H2_4R_100_count.txt,soft,4,H2_100
WT_1R_10,WT_1R_10__S1_R1_001.fastq,WT_1R_10_count.txt,stiff,1,WT_10
WT_1R_100,WT_1R_100_S2_R1_001.fastq,WT_1R_100_count.txt,soft,1,WT_100
WT_2R_10,WT_2R_10__S7_R1_001.fastq,WT_2R_10_count.txt,stiff,2,WT_10
WT_2R_100,WT_2R_100_S8_R1_001.fastq,WT_2R_100_count.txt,soft,2,WT_100
WT_3R_10,WT_3R_10__S13_R1_001.fastq,WT_3R_10_count.txt,stiff,3,WT_10
WT_3R_100,WT_3R_100_S14_R1_001.fastq,WT_3R_100_count.txt,soft,3,WT_100
WT_4R_10,WT_4R_10__S19_R1_001.fastq,WT_4R_10_count.txt,stiff,4,WT_10
WT_4R_100,WT_4R_100_S20_R1_001.fastq,WT_4R_100_count.txt,soft,4,WT_100